,comm_2
1076,1040060048209338369
1077,1654024760
1078,898364842351919104
1079,633350878
1080,753558961513693185
1081,315968155
1082,2792960497
1083,1314304079330451459
1084,200990641
1085,2371738498
1086,171591517
1087,757586754341838848
1088,1472910872
1089,1190124260339134464
1090,1239291711299428353
1091,358378950
1092,1226569135867518977
1093,711690415867564032
1094,190519989
1095,1306711501722583040
1096,236644877
1097,1293051544561160192
1098,991506700741029889
1099,747525179279024128
1100,997060027147055104
1101,26687156
1102,199150667
1103,227803561
1104,1339314654389145603
1105,1318974733644345350
1106,1001921944135131137
1107,1206064730714116097
1108,151878209
1109,1358509089849040896
1110,3356866516
1111,2377347464
1112,1163966380812722179
1113,2892728427
1114,1279022652829696000
1115,1601181866
1116,986371164959399936
1117,158380591
1118,842611788793438208
1119,2323884045
1120,134129669
1121,294267506
1122,919944489027940352
1123,754074668487802880
1124,555452073
1125,720016005414699009
1126,48454659
1127,332596869
1128,1211425200769658880
1129,175427609
1130,3273370831
1131,1243265098745032706
1132,2903239210
1133,894886118608568320
1134,869206764704731136
1135,1240018717754392578
1136,877671279968518145
1137,1171167187689705479
1138,276659392
1139,864153828
1140,61849865
1141,1278555403429822464
1142,1324644998
1143,224635631
1144,954771927930896384
1145,886033437295075328
1146,775369959031640068
1147,938880066733400064
1148,755962480824909824
1149,2691515714
1150,1851738264
1151,1309497452580483073
1152,554777703
1153,3400517103
1154,426978798
1155,702626612244844544
1156,1242344151619973121
1157,2617590796
1158,2692087551
1159,866465197
1160,1333488467259625473
1161,2261988217
1162,159210352
1163,2595312323
1164,3369550996
1165,1304214148855861249
1166,1192415849400938496
1167,4111656975
1168,1352520895
1169,527026096
1170,385088135
1171,1404260882
1172,2820909563
1173,1387971487
1174,2955256527
1175,835301619029917696
1176,2887612871
1177,825413204318814208
1178,489460457
1179,1199523653471408134
1180,131964896
1181,293304123
1182,312805029
1183,1274430081771986949
1184,2507753083
1185,778413176
1186,1142861884300902402
1187,1965712266
1188,346872330
1189,1200593089372577798
1190,2780187443
1191,376154124
1192,1305620813421465603
1193,2771667967
1194,1190966501878177794
1195,997496617
1196,2486108431
1197,2812317399
1198,161686370
1199,507821312
1200,1262144998503571456
1201,403121088
1202,197850260
1203,321495907
1204,3160588959
1205,82654068
1206,964240469353000960
1207,728904452
1208,1316619284592943105
1209,497044381
1210,1346125683530063873
1211,907740079975788545
1212,857638503903002625
1213,1922346414
1214,2723678379
1215,165622218
1216,143931210
1217,1350849344606531585
1218,3382068411
1219,938482212667822082
1220,336422203
1221,860908585706016773
1222,1167578827402424321
1223,3141243051
1224,994047679
1225,1114590254
1226,821917380
1227,29003306
1228,1035905065545068545
1229,1372493378
1230,1551714512
1231,2481369985
1232,4251496827
1233,1158128412453740547
1234,547171667
1235,228209011
1236,1104215405554552832
1237,52488667
1238,2976786351
1239,2790662010
1240,1209049723094650880
1241,145777342
1242,2155457142
1243,924781498074583040
1244,937313406
1245,756543198927982592
1246,966125620613865472
1247,4755492621
1248,1161662697693503489
1249,1465229048
1250,2419113894
1251,892379197678776320
1252,844731368479297536
1253,188376648
1254,1253370070035771393
1255,1162511114804047873
1256,1291915628866080768
1257,1354130915556003847
1258,1092814739984580608
1259,1323046085649195008
1260,1184108746676604929
1261,141819823
1262,2243056094
1263,419895536
1264,1075473783706828801
1265,486961348
1266,1012127265055039488
1267,1183694962812215297
1268,159799250
1269,1044696128715935744
1270,200729371
1271,163540720
1272,1861063610
1273,137311714
1274,2480016151
1275,1347307898
1276,812937073
1277,379501599
1278,732319125222113280
1279,52130638
1280,1408111808
1281,1163069390339878912
1282,822522438
1283,1275243480370106368
1284,149546649
1285,337631754
1286,274162807
1287,1323187964
1288,225273523
1289,287512711
1290,1129083951354658818
1291,2757115833
1292,946420979135385601
1293,4637672068
1294,566730911
1295,2447103872
1296,2693265779
1297,1132571947349499904
1298,394449623
1299,700464940151230464
1300,21867194
1301,2591771129
1302,170411601
1303,961424203542122496
1304,2555945367
1305,384079373
1306,1567893919
1307,960475608873684992
1308,2151623971
1309,4872684603
1310,721052903151136768
1311,592228829
1312,1286976759834071041
1313,999797053
1314,2196425515
1315,1207723568777322496
1316,2985577983
1317,1263249097936470017
