,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
109,1172610671965548545,1,31.0,3803.454588984774,0.017025627986025065,0.000127839807827894,0.18472906403940886
110,202824848,1,9.0,0.0,0.00827344508757875,4.02180056325573e-05,0.3888888888888889
111,341154704,1,2.0,0.0,0.004775162215307202,1.4715959903846622e-05,0.0
112,2693592596,1,6.0,0.0,0.005856373754720918,3.081039564529325e-05,0.4666666666666667
113,148031006,1,2.0,0.0,0.007095023588122562,1.3436244467243454e-05,0.0
116,378996603,1,5.0,0.0,0.004010515463657982,2.5004089532494902e-05,0.4
117,837186873143488514,1,52.0,172342.41341630416,0.016206253759815877,0.00023050980578396112,0.07164404223227752
118,1002260764747616260,1,1.0,0.0,8.128200623142973e-05,7.919424481112039e-06,0.0
119,1241874768569274368,1,2.0,251494.77536045367,0.003507578953034457,1.2333181575191047e-05,0.0
120,3017809004,1,15.0,0.0,0.007437629895980626,7.436468617609272e-05,0.14285714285714285
121,33524608,1,1.0,10599.99152348427,4.026289387318729e-05,7.896491257425864e-06,0.0
123,2687724840,1,3175.0,3608.7031738237592,0.1795132157477551,0.019908885940622515,0.0007499913172479149
124,60939248,1,6.0,0.0,0.0004415288688851672,3.260199552079322e-05,0.0
125,1014284625592639489,1,53.0,0.0,0.008267428065545574,0.00023003840022141827,0.034107402031930335
126,1351621913446141953,1,9.0,0.0,0.011763094082588705,4.814165610159806e-05,0.3333333333333333
128,1190413307183869954,1,30.0,4618.759159398835,0.00811264116780223,0.000135800339277787,0.09425287356321839
130,3421061763,1,129.0,7616.59154316578,0.028910937922977907,0.0005531298423680027,0.06674165729283839
131,2381191612,1,5.0,0.0,0.0003249168744712794,2.1542657170154976e-05,0.0
132,176605247,1,31.0,1738.1267605307057,0.010603112464570706,0.00014599254769836716,0.11182795698924732
133,1253116205788991489,1,1.0,19956.956743480627,0.0011570428546603122,8.876812386071213e-06,0.0
134,73102744,1,5362.0,0.0,0.3492792141367312,0.03164027188414704,0.0004956570520748125
135,770043118435598337,1,2.0,881.1865358945149,0.0003238609008396595,1.1942089981995066e-05,0.0
136,990727302114930688,1,2.0,0.0,0.0036510818574305116,1.2850554374057137e-05,0.0
137,732703538074226688,1,4.0,0.0,6.766044265961975e-05,2.3746128029985355e-05,0.0
138,180986917,1,17.0,0.0,0.0016359293923142817,7.353389291670431e-05,0.007352941176470588
139,26952449,1,6.0,4.661278191783731,0.008063983372152063,3.1093721798080346e-05,0.3333333333333333
140,1255347170,1,1.0,141.53578238168382,0.0034955611692856336,8.517996580613172e-06,0.0
141,983848121754058752,1,1.0,0.0,0.0012796010460215679,9.966807544338978e-06,0.0
143,1163194886352461824,1,7.0,0.0,0.01008364097103234,3.26158469180373e-05,0.38095238095238093
144,33024510,1,1.0,7.062874458228998,0.0025723475943054464,8.468460744069946e-06,0.0
145,367933714,1,3849.0,0.0,0.257022623138536,0.022553856110753376,0.0008816448800860337
148,146631761,1,7.0,0.0,0.008015429223213135,3.5811031770234745e-05,0.5714285714285714
149,867223140,1,12.0,42604.70317382328,0.008156156679905298,5.4722324302478246e-05,0.22727272727272727
151,441003091,1,4.0,2026.0358400501955,0.0007250364411882369,1.9239785054925727e-05,0.16666666666666666
153,910956876686381058,1,4.0,0.0,0.006204209504415207,2.2499721752211158e-05,0.6666666666666666
